State,County Code,Year,Rows
State: 80,County code: 002,Year: 20160101,Rows: 18432
State: 80,County code: 002,Year: 20170101,Rows: 26280
State: 80,County code: 002,Year: 20180101,Rows: 7879
State: 78,County code: 030,Year: 20180101,Rows: 4416
State: 78,County code: 030,Year: 20190101,Rows: 8760
State: 78,County code: 010,Year: 20100101,Rows: 89
State: 78,County code: 010,Year: 20110101,Rows: 52
State: 78,County code: 010,Year: 20120101,Rows: 75
State: 78,County code: 010,Year: 20130101,Rows: 22
State: 78,County code: 010,Year: 20140101,Rows: 52
State: 78,County code: 010,Year: 20150101,Rows: 54
State: 78,County code: 010,Year: 20160101,Rows: 15
State: 78,County code: 010,Year: 20170101,Rows: 26
State: 78,County code: 010,Year: 20180101,Rows: 31
State: 78,County code: 010,Year: 20190101,Rows: 61
State: 72,County code: 127,Year: 20110101,Rows: 80
State: 72,County code: 127,Year: 20120101,Rows: 92
State: 72,County code: 127,Year: 20150101,Rows: 28
State: 72,County code: 113,Year: 20100101,Rows: 124
State: 72,County code: 113,Year: 20110101,Rows: 121
State: 72,County code: 113,Year: 20120101,Rows: 97
State: 72,County code: 113,Year: 20130101,Rows: 122
State: 72,County code: 113,Year: 20140101,Rows: 122
State: 72,County code: 113,Year: 20150101,Rows: 121
State: 72,County code: 113,Year: 20160101,Rows: 122
State: 72,County code: 113,Year: 20170101,Rows: 91
State: 72,County code: 113,Year: 20180101,Rows: 119
State: 72,County code: 113,Year: 20190101,Rows: 120
State: 72,County code: 097,Year: 20110101,Rows: 73
State: 72,County code: 097,Year: 20120101,Rows: 122
State: 72,County code: 097,Year: 20130101,Rows: 111
State: 72,County code: 097,Year: 20140101,Rows: 19
State: 72,County code: 069,Year: 20110101,Rows: 20
State: 72,County code: 069,Year: 20120101,Rows: 122
State: 72,County code: 069,Year: 20130101,Rows: 122
State: 72,County code: 069,Year: 20140101,Rows: 122
State: 72,County code: 061,Year: 20100101,Rows: 124
State: 72,County code: 061,Year: 20110101,Rows: 124
State: 72,County code: 061,Year: 20120101,Rows: 180
State: 72,County code: 061,Year: 20130101,Rows: 182
State: 72,County code: 061,Year: 20140101,Rows: 183
State: 72,County code: 061,Year: 20150101,Rows: 181
State: 72,County code: 061,Year: 20160101,Rows: 183
State: 72,County code: 061,Year: 20170101,Rows: 137
State: 72,County code: 061,Year: 20180101,Rows: 176
State: 72,County code: 061,Year: 20190101,Rows: 182
State: 72,County code: 059,Year: 20110101,Rows: 20
State: 72,County code: 059,Year: 20120101,Rows: 93
State: 72,County code: 059,Year: 20130101,Rows: 122
State: 72,County code: 059,Year: 20140101,Rows: 122
State: 72,County code: 059,Year: 20150101,Rows: 121
State: 72,County code: 059,Year: 20160101,Rows: 122
State: 72,County code: 059,Year: 20170101,Rows: 91
State: 72,County code: 057,Year: 20100101,Rows: 122
State: 72,County code: 057,Year: 20110101,Rows: 123
State: 72,County code: 057,Year: 20120101,Rows: 122
State: 72,County code: 057,Year: 20130101,Rows: 106
State: 72,County code: 057,Year: 20140101,Rows: 99
State: 72,County code: 057,Year: 20150101,Rows: 121
State: 72,County code: 057,Year: 20160101,Rows: 122
State: 72,County code: 057,Year: 20170101,Rows: 91
State: 72,County code: 057,Year: 20190101,Rows: 30
State: 72,County code: 053,Year: 20100101,Rows: 122
State: 72,County code: 053,Year: 20110101,Rows: 122
State: 72,County code: 053,Year: 20120101,Rows: 61
State: 72,County code: 053,Year: 20150101,Rows: 117
State: 72,County code: 053,Year: 20160101,Rows: 122
State: 72,County code: 053,Year: 20170101,Rows: 91
State: 72,County code: 053,Year: 20180101,Rows: 30
State: 72,County code: 053,Year: 20190101,Rows: 121
State: 72,County code: 025,Year: 20170101,Rows: 40
State: 72,County code: 025,Year: 20180101,Rows: 30
State: 72,County code: 025,Year: 20190101,Rows: 121
State: 72,County code: 021,Year: 20110101,Rows: 20
State: 72,County code: 021,Year: 20120101,Rows: 122
State: 72,County code: 021,Year: 20130101,Rows: 122
State: 72,County code: 021,Year: 20140101,Rows: 9
State: 72,County code: 021,Year: 20150101,Rows: 88
State: 72,County code: 021,Year: 20160101,Rows: 35
