,State,County Code,Latitude,Longitude
0,80,002,32.633671,-115.504995
1,78,030,18.343811,-64.931389
2,78,010,17.712474,-64.784868
3,72,127,18.449814,-66.05251
4,72,113,18.009558,-66.627249
5,72,097,18.200099,-67.14588
6,72,069,18.15344,-65.828617
7,72,061,18.440095,-66.11446
8,72,059,18.045111,-66.802253
9,72,057,17.957894,-66.165016
10,72,053,18.383983,-65.618888
11,72,025,18.198712,-66.052237
12,72,021,18.39982,-66.171125
13,72,001,18.175378,-66.725988
14,56,045,43.84989,-104.20432
15,56,039,43.45776,-110.79799
16,56,037,41.592536,-109.220852
17,56,035,42.869824,-109.87076
18,56,033,44.805494,-106.976243
19,56,029,44.524568,-109.06926
20,56,025,42.851064,-106.325088
21,56,021,41.136846,-104.818239
22,56,015,42.203452,-104.545153
23,56,013,42.842168,-108.736281
24,56,009,43.426621,-105.386453
25,56,007,41.783389,-107.119184
26,56,005,44.502675,-105.539763
27,56,003,44.8357,-108.386
28,56,001,41.311586,-105.591725
29,55,133,43.020075,-88.21507
30,55,125,46.0519,-89.654
31,55,119,45.2066,-90.5972
32,55,111,43.4351,-89.6797
33,55,109,45.124437,-92.662696
34,55,089,43.4981,-87.81
35,55,087,44.30738,-88.395178
36,55,079,42.930708,-87.931983
37,55,071,44.138619,-87.6161
38,55,063,43.7775,-91.2269
39,55,059,42.504722,-87.8093
40,55,043,42.6938,-90.6979
41,55,041,45.565,-88.8086
42,55,035,44.812,-91.496
43,55,027,43.466111,-88.621111
44,55,025,43.0733,-89.4358
45,55,009,44.50729,-87.99344
46,55,003,46.602248,-90.656141
47,54,107,39.323533,-81.552367
48,54,081,37.807767,-81.197433
49,54,069,40.114876,-80.700972
50,54,061,39.649367,-79.920867
51,54,051,39.915961,-80.733858
52,54,049,39.481483,-80.134667
53,54,039,38.366183,-81.693717
54,54,033,39.278117,-80.34225
55,54,029,40.421539,-80.580717
56,54,011,38.424133,-82.4259
57,54,009,40.394651,-80.611813
58,54,003,39.448105,-77.963845
59,53,077,46.598056,-120.499167
60,53,073,48.76278,-122.44028
61,53,067,47.029396,-122.821548
62,53,065,48.544448,-117.903425
63,53,063,47.672482,-117.364852
64,53,061,48.2469,-121.6031
65,53,057,48.52059,-122.61428
66,53,053,47.1864,-122.4517
67,53,047,48.39999,-119.51896
68,53,037,46.99364,-120.545
69,53,035,47.592675,-122.627397
70,53,033,47.568236,-122.308628
71,53,011,45.648333,-122.586944
72,53,007,47.43061,-120.34195
73,51,810,36.841883,-76.181233
74,51,775,37.297883,-80.081017
75,51,770,37.297167,-79.955733
76,51,760,37.59088,-77.46925
77,51,710,36.85555,-76.30135
78,51,700,37.0998,-76.48105
79,51,680,37.332706,-79.215011
80,51,650,37.103733,-76.387017
81,51,520,36.608,-82.1641
82,51,510,38.810403,-77.04435
83,51,165,38.47753,-78.81952
84,51,161,37.28342,-79.88452
85,51,139,38.66373,-78.50442
86,51,107,39.02473,-77.48925
87,51,087,37.67132,-77.5664
88,51,069,39.28102,-78.08157
89,51,059,38.83738,-77.16338
90,51,041,37.43467,-77.45118
91,51,036,37.34438,-77.25925
92,51,013,38.8577,-77.05922
93,51,003,38.07657,-78.50397
94,50,021,43.608056,-72.982778
95,50,007,44.480278,-73.214444
96,50,003,42.88759,-73.24984
97,49,057,41.303614,-111.987871
98,49,053,37.1983,-113.1506
99,49,049,40.136336,-111.660502
100,49,045,40.543309,-112.299618
101,49,035,40.78422,-111.931
102,49,011,40.902967,-111.884467
103,49,005,41.731111,-111.8375
104,49,003,41.492707,-112.018863
